# S1-S2 restitution for CRN98 con cell. Adaptive step
# step: step in S2 interval
# delta: Difference in S2 APD from previous S2.
# d/dt: rate of change of S2 APD
#     S2 S1 APD50       DI S2 APD50    Vpeak     step    delta     d/dt
 495.312   180.01  315.305   125.37  24.6081   1.5625    0.845   0.5408
  493.75   180.01  313.745  124.525  24.6019   1.5625    0.845   0.5408
 492.188   180.01   312.18   123.67  24.5952   1.5625    0.855   0.5472
 490.625   180.01   310.62   122.81   24.588   1.5625     0.86   0.5504
 489.062   180.01  309.055   121.94  24.5803   1.5625     0.87   0.5568
   487.5   180.01  307.495  121.065  24.5722   1.5625    0.875     0.56
 485.938   180.01   305.93  120.185  24.5635   1.5625     0.88   0.5632
 484.375   180.01   304.37  119.335  24.5414   1.5625     0.85    0.544
 482.812   180.01  302.805  118.445   24.532   1.5625     0.89   0.5696
  481.25   180.01  301.245   117.55  24.5221   1.5625    0.895   0.5728
 479.688   180.01   299.68   116.65  24.5115   1.5625      0.9    0.576
 478.125   180.01   298.12   115.75  24.5002   1.5625      0.9    0.576
 476.562   180.01  296.555   114.84  24.4883   1.5625     0.91   0.5824
     475   180.01  294.995  113.935  24.4756   1.5625    0.905   0.5792
 473.438   180.01   293.43   113.05  24.4494   1.5625    0.885   0.5664
 471.875   180.01   291.87   112.14  24.4356   1.5625     0.91   0.5824
 470.312   180.01  290.305   111.22   24.421   1.5625     0.92   0.5888
  468.75   180.01  288.745    110.3  24.4057   1.5625     0.92   0.5888
 467.188   180.01   287.18   109.38  24.3894   1.5625     0.92   0.5888
 465.625   180.01   285.62   108.46  24.3722   1.5625     0.92   0.5888
 464.062   180.01  284.055   107.54   24.354   1.5625     0.92   0.5888
   462.5   180.01  282.495   106.65  24.3221   1.5625     0.89   0.5696
 460.938   180.01   280.93   105.73  24.3022   1.5625     0.92   0.5888
 459.375   180.01   279.37   104.81  24.2813   1.5625     0.92   0.5888
 457.812   180.01  277.805   103.89  24.2593   1.5625     0.92   0.5888
  456.25   180.01  276.245   102.97  24.2361   1.5625     0.92   0.5888
 454.688   180.01   274.68  102.055  24.2116   1.5625    0.915   0.5856
 453.125   180.01   273.12  101.145  24.1859   1.5625     0.91   0.5824
 451.562   180.01  271.555  100.265  24.1461   1.5625     0.88   0.5632
     450   180.01  269.995    99.36   24.118   1.5625    0.905   0.5792
 448.438   180.01   268.43   98.455  24.0883   1.5625    0.905   0.5792
 446.875   180.01   266.87   97.555  24.0571   1.5625      0.9    0.576
 445.312   180.01  265.305    96.66  24.0243   1.5625    0.895   0.5728
  443.75   180.01  263.745   95.775    23.99   1.5625    0.885   0.5664
 442.188   180.01   262.18    94.92   23.941   1.5625    0.855   0.5472
 440.625   180.01   260.62   94.045  23.9034   1.5625    0.875     0.56
 439.062   180.01  259.055   93.175  23.8638   1.5625     0.87   0.5568
   437.5   180.01  257.495    92.31  23.8224   1.5625    0.865   0.5536
 435.938   180.01   255.93   91.455  23.7787   1.5625    0.855   0.5472
 434.375   180.01   254.37   90.605  23.7329   1.5625     0.85    0.544
 432.812   180.01  252.805   89.795   23.672   1.5625     0.81   0.5184
  431.25   180.01  251.245   88.965   23.622   1.5625     0.83   0.5312
 429.688   180.01   249.68    88.14  23.5695   1.5625    0.825    0.528
 428.125   180.01   248.12    87.33  23.5145   1.5625     0.81   0.5184
 426.562   180.01  246.555   86.525  23.4567   1.5625    0.805   0.5152
     425   180.01  244.995   85.735  23.3964   1.5625     0.79   0.5056
 423.438   180.01   243.43   84.985  23.3201   1.5625     0.75     0.48
 421.875   180.01   241.87   84.215  23.2541   1.5625     0.77   0.4928
 420.312   180.01  240.305   83.455  23.1848   1.5625     0.76   0.4864
  418.75   180.01  238.745   82.705  23.1124   1.5625     0.75     0.48
 417.188   180.01   237.18    81.97  23.0363   1.5625    0.735   0.4704
 415.625   180.01   235.62    81.25  22.9569   1.5625     0.72   0.4608
 414.062   180.01  234.055   80.575  22.8607   1.5625    0.675    0.432
   412.5   180.01  232.495    79.88  22.7741   1.5625    0.695   0.4448
 410.938   180.01   230.93   79.195  22.6831   1.5625    0.685   0.4384
 409.375   180.01   229.37    78.53  22.5881   1.5625    0.665   0.4256
 407.812   180.01  227.805    77.88  22.4884   1.5625     0.65    0.416
  406.25   180.01  226.245   77.245  22.3844   1.5625    0.635   0.4064
 404.688   180.01   224.68   76.655  22.2628   1.5625     0.59   0.3776
 403.125   180.01   223.12    76.05  22.1494   1.5625    0.605   0.3872
 401.562   180.01  221.555    75.46  22.0305   1.5625     0.59   0.3776
     400   180.01  219.995    74.89  21.9065   1.5625     0.57   0.3648
 398.438   180.01   218.43   74.335  21.7764   1.5625    0.555   0.3552
 396.875   180.01   216.87   73.795  21.6408   1.5625     0.54   0.3456
 395.312   180.01  215.305   73.305  21.4863   1.5625     0.49   0.3136
  393.75   180.01  213.745   72.805  21.3386   1.5625      0.5     0.32
 392.188   180.01   212.18    72.32  21.1838   1.5625    0.485   0.3104
 390.625   180.01   210.62   71.855  21.0224   1.5625    0.465   0.2976
 389.062   180.01  209.055    71.41  20.8533   1.5625    0.445   0.2848
   387.5   180.01  207.495   71.015  20.6647   1.5625    0.395   0.2528
 385.938   180.01   205.93   70.605  20.4804   1.5625     0.41   0.2624
 384.375   180.01   204.37    70.22  20.2885   1.5625    0.385   0.2464
 382.812   180.01  202.805   69.855  20.0874   1.5625    0.365   0.2336
  381.25   180.01  201.245   69.515   19.878   1.5625     0.34   0.2176
 379.688   180.01   199.68    69.22  19.6463   1.5625    0.295   0.1888
 378.125   180.01   198.12    68.92  19.4182   1.5625      0.3    0.192
 376.562   180.01  196.555    68.64  19.1793   1.5625     0.28   0.1792
     375   180.01  194.995   68.385  18.9305   1.5625    0.255   0.1632
 373.438   180.01   193.43    68.15  18.6698   1.5625    0.235   0.1504
 371.875   180.01   191.87    67.97  18.3866   1.5625     0.18   0.1152
 370.312   180.01  190.305   67.785  18.1029   1.5625    0.185   0.1184
  368.75   180.01  188.745    67.62  17.8076   1.5625    0.165   0.1056
 367.188   180.01   187.18   67.485  17.4983   1.5625    0.135   0.0864
 365.625   180.01   185.62   67.375  17.1765   1.5625     0.11   0.0704
 364.062   180.01  184.055   67.315  16.8279   1.5625     0.06   0.0384
 360.938   180.01   180.93   67.225  16.1113    3.125     0.09   0.0288
 354.688   180.01   174.68     67.4   14.472     6.25   -0.175   -0.028
 348.438   180.01   168.43   68.025  12.5407     6.25   -0.625     -0.1
 345.312   180.01  165.305    68.52  11.4477    3.125   -0.495  -0.1584
 342.188   180.01   162.18    69.12  10.2675    3.125     -0.6   -0.192
 339.062   180.01  159.055    69.81    9.007    3.125    -0.69  -0.2208
 335.938   180.01   155.93   70.605  7.64202    3.125   -0.795  -0.2544
 332.812   180.01  152.805   71.475  6.18169    3.125    -0.87  -0.2784
 329.688   180.01   149.68    72.39  4.62613    3.125   -0.915  -0.2928
 326.562   180.01  146.555    73.32  2.97752    3.125    -0.93  -0.2976
 323.438   180.01   143.43   74.215  1.24006    3.125   -0.895  -0.2864
 320.312   180.01  140.305    75.02 -0.579368    3.125   -0.805  -0.2576
 317.188   180.01   137.18   75.665 -2.47914    3.125   -0.645  -0.2064
 314.062   180.01  134.055   76.055 -4.43813    3.125    -0.39  -0.1248
 310.938   180.01   130.93     76.1 -6.44034    3.125   -0.045  -0.0144
 304.688   180.01   124.68    75.81  -10.497     6.25     0.29   0.0464
 303.906   180.01    123.9   75.295 -11.0018  0.78125    0.515   0.6592
 303.125   180.01   123.12    74.77 -11.4978  0.78125    0.525    0.672
 302.344   180.01  122.335    74.23      -12  0.78125     0.54   0.6912
 301.562   180.01  121.555   73.685 -12.4953  0.78125    0.545   0.6976
 300.781   180.01  120.775   73.125 -12.9862  0.78125     0.56   0.7168
     300   180.01  119.995   72.555  -13.472  0.78125     0.57   0.7296
 299.219   180.01   119.21    71.97  -13.955  0.78125    0.585   0.7488
 298.438   180.01   118.43    71.38 -14.4286  0.78125     0.59   0.7552
 297.656   180.01   117.65    70.78 -14.8949  0.78125      0.6    0.768
 296.875   180.01   116.87   70.175 -15.3531  0.78125    0.605   0.7744
 296.094   180.01  116.085   69.555 -15.8055  0.78125     0.62   0.7936
 295.312   180.01  115.305   68.935 -16.2453  0.78125     0.62   0.7936
 294.531   180.01  114.525   68.315 -16.6748  0.78125     0.62   0.7936
  293.75   180.01  113.745    67.69 -17.0931  0.78125    0.625      0.8
 292.969   180.01   112.96   67.055 -17.5063  0.78125    0.635   0.8128
 292.188   180.01   112.18    66.43 -17.8994  0.78125    0.625      0.8
 291.406   180.01    111.4   65.805 -18.2788  0.78125    0.625      0.8
 290.625   180.01   110.62   65.185 -18.6479  0.78125     0.62   0.7936
 289.844   180.01  109.835   64.565 -18.9997  0.78125     0.62   0.7936
 289.062   180.01  109.055    63.96 -19.3334  0.78125    0.605   0.7744
 288.281   180.01  108.275   63.365  -19.654  0.78125    0.595   0.7616
   287.5   180.01  107.495    62.78 -19.9538  0.78125    0.585   0.7488
 286.719   180.01   106.71     62.2 -20.2409  0.78125     0.58   0.7424
 285.938   180.01   105.93    61.64 -20.5044  0.78125     0.56   0.7168
 285.156   180.01   105.15    61.09 -20.7524  0.78125     0.55    0.704
 284.375   180.01   104.37    60.56 -20.9811  0.78125     0.53   0.6784
 283.594   180.01  103.585   60.045 -21.1888  0.78125    0.515   0.6592
 282.812   180.01  102.805   59.545 -21.3784  0.78125      0.5     0.64
