# conduction velocity
# CRN98_s140g10
# Cell pre-paced 10 times @ 1000 interval
#    delay        cv
  1000 0.267165
   900 0.267344
   800 0.267559
   700 0.267881
   600 0.268348
   500 0.269034
   400 0.269978
   350 0.27027
   300 0.269469
   275 0.267773
   250 0.264131
   240 0.261883
   230 0.258933
   220 0.255232
   210 0.250595
   200 0.244888
   190 0.238152
   185 0.234412
   180 0.230494
   175 0.226475
   170 0.222519
   169 0.221705
   168 0.22097
   167 0.220192
   166 0.219467
   165 0.218747
   164 0.218055
   163 0.217391
   162 0.216732
   161 0.216123
   160 0.21554
   159 0.215008
   158 0.214546
   157 0.21411
   156 0.213767
   155 0.213538
   155 0.213538
 154.9 0.213516
 154.8 0.213516
 154.7 0.213516
 154.6 0.213516
 154.5 0.213516
 154.4 0.213516
 154.3 0.213493
 154.2 0.213516
 154.1 0.213516
   154 0.213516
 153.9 0.213516
 153.8 0.213538
 153.7 0.213561
 153.6 0.213584
 153.5 0.21363
 153.4 0.213652
 153.3 0.213698
 153.2 0.213744
 153.1 0.213812
   153 0.213881
 152.9 0.21395
 152.8 0.214041
 152.7 0.214156
 152.6 0.214293
 152.5 0.214431
 152.4 0.214638
 152.3 0.214869
 152.2 0.215146
 152.1 0.21554
152.09 0.215587
152.08 0.215633
152.07 0.21568
152.06 0.215726
152.05 0.215773
152.04 0.21582
152.03 0.215889
152.02 0.215936
152.01 0.215983
   152 0.216053
151.99 0.216123
151.98 0.216193
151.97 0.216263
151.96 0.216333
151.95 0.21638
151.94 0.216474
151.93 0.216567
151.92 0.216638
151.91 0.216755
 151.9 0.216849
151.89 0.216943
151.88 0.217061
151.87 0.217155
151.86 0.217297
151.85 0.217439
151.84 0.217581
151.83 0.217723
151.82 0.217865
151.81 0.218055
 151.8 0.218269
151.79 0.218484
151.78 0.218747
151.77 0.218986
151.76 0.219298
151.75 0.219635
151.74 0.220046
151.73 0.220556
151.72 0.22119
151.71 0.222173
 151.7 0.223464
