#  DI		APD
  2685.8		324.14
  2485.8		324.09
  2085.8		323.89
  1685.8		323.38
  1485.8		322.84
  1285.8		321.94
  1185.8		321.29
  1085.8		320.44
  1035.8		319.93
  985.8		319.36
  935.8		318.72
  885.8		318
  835.8		317.19
  785.8		316.3
  735.81		315.31
  710.81		314.77
  685.81		314.22
  660.81		313.63
  635.81		313.02
  610.81		312.39
  585.81		311.73
  560.81		311.04
  535.81		310.33
  510.81		309.59
  485.81		308.83
  460.81		308.04
  435.81		307.22
  410.81		306.36
  385.81		305.43
  373.31		304.93
  360.81		304.4
  348.31		303.84
  335.81		303.22
  323.31		302.54
  310.81		301.76
  298.31		300.88
  292.06		300.38
  285.81		299.84
  279.56		299.25
  273.31		298.61
  267.06		297.91
  260.81		297.14
  254.56		296.3
  248.31		295.37
  245.18		294.88
  242.06		294.36
  238.93		293.81
  235.81		293.25
  232.68		292.65
  229.56		292.03
  226.43		291.38
  223.31		290.7
  220.18		289.99
  217.06		289.25
  213.93		288.48
  210.81		287.68
  207.68		286.85
  204.56		285.98
  201.43		285.09
  198.31		284.16
  195.18		283.2
  192.06		282.2
  190.49		281.69
  188.93		281.18
  187.37		280.65
  185.81		280.12
  184.24		279.57
  182.68		279.03
  181.12		278.47
  179.56		277.91
  177.99		277.33
  176.43		276.75
  174.87		276.17
  173.31		275.57
  171.74		274.97
  170.18		274.36
  168.62		273.75
  167.06		273.12
  165.49		272.49
  163.93		271.86
  162.37		271.21
  160.81		270.56
  159.24		269.91
  157.68		269.24
  156.12		268.57
  154.56		267.9
  152.99		267.22
  151.43		266.53
  149.87		265.83
  148.31		265.14
  146.74		264.44
  145.18		263.73
  143.62		263.01
  142.06		262.29
  140.49		261.57
  138.93		260.84
  137.37		260.11
  135.81		259.37
  134.24		258.62
  132.68		257.88
  131.12		257.12
  129.56		256.37
  127.99		255.61
  126.43		254.85
  124.87		254.08
  123.31		253.31
  121.74		252.53
  120.18		251.76
  118.62		250.98
  117.06		250.19
  115.49		249.41
  113.93		248.61
  112.37		247.82
  110.81		247.02
  109.24		246.23
  107.68		245.42
  106.12		244.62
  104.56		243.81
  102.99		243
  101.43		242.18
  99.87		241.37
  98.31		240.55
  96.74		239.73
  95.18		238.9
  93.62		238.07
  92.06		237.24
  90.49		236.41
  88.93		235.58
  87.37		234.74
  85.81		233.9
  84.24		233.06
  82.68		232.21
  81.12		231.36
  79.56		230.51
  77.99		229.65
  76.43		228.8
  74.87		227.93
  73.31		227.07
  71.74		226.2
  70.18		225.33
  68.62		224.45
  67.06		223.56
  65.49		222.68
  63.93		221.79
  62.37		220.89
  60.81		219.98
  59.24		219.07
  57.68		218.16
  56.12		217.23
  54.56		216.3
  52.99		215.36
  51.43		214.41
  49.87		213.45
  48.31		212.48
  46.74		211.5
  45.18		210.5
  44.4		210
  43.62		209.5
  42.84		208.99
  42.06		208.48
  41.27		207.96
  40.49		207.44
  39.71		206.91
  38.93		206.39
  38.15		205.85
  37.37		205.31
  36.59		204.77
  35.81		204.22
  35.02		203.66
  34.24		203.1
  33.46		202.54
  32.68		201.97
  31.9		201.39
  31.12		200.8
  30.34		200.21
  29.56		199.61
  28.77		199
  27.99		198.38
  27.21		197.75
  26.43		197.12
  25.65		196.47
  24.87		195.82
  24.09		195.15
  23.31		194.47
  22.52		193.78
  21.74		193.08
  20.96		192.37
  20.18		191.63
  19.4		190.89
  18.62		190.13
  17.84		189.36
  17.06		188.57
  16.27		187.75
  15.49		186.92
  14.71		186.07
  13.93		185.2
  13.15		184.3
  12.37		183.39
  11.59		182.45
  10.81		181.47
  10.02		180.47
  9.63		179.96
  9.24		179.45
  8.85		178.93
  8.46		178.39
  8.07		177.85
  7.68		177.3
  7.29		176.74
  6.9		176.17
  6.51		175.6
  6.12		175.01
  5.73		174.41
  5.34		173.8
  4.95		173.19
  4.56		172.57
  4.16		171.92
  3.77		171.26
  3.38		170.61
  2.99		169.94
  2.6		169.25
  2.21		168.56
  1.82		167.84
  1.43		167.11
  1.04		166.37
  0.65		165.62
  0.26		164.84
