"Time","Membrane(mV)","Membrane(mV)10","Membrane(mV)25"
497.01,-79.09,-79.26,-78.27
497.51,-79.1,-79.26,-78.27
498.01,-79.1,-79.26,-78.27
498.51,-79.11,-79.26,-78.27
499.01,-79.11,-79.27,-78.27
499.51,-79.12,-79.27,-78.27
500.01,-79.12,-79.27,-78.28
500.51,-79.13,-79.27,-78.28
501.01,-79.13,-79.27,-78.28
501.51,-79.14,-79.28,-78.28
502.01,-79.14,-79.28,-78.28
502.51,-79.14,-79.28,-78.28
503.01,-79.15,-79.28,-78.28
503.51,-79.15,-79.28,-78.28
504.01,-79.16,-79.28,-78.29
504.51,-79.16,-79.29,-78.29
505.01,-79.17,-79.29,-78.29
505.51,-79.17,-79.29,-78.29
506.01,-79.18,-79.29,-78.29
506.51,-79.18,-79.29,-78.29
507.01,-79.18,-79.3,-78.29
507.51,-79.19,-79.3,-78.29
508.01,-79.19,-79.3,-78.29
508.51,-79.2,-79.3,-78.3
509.01,-79.2,-79.3,-78.3
509.51,-79.21,-79.31,-78.3
510.01,-79.21,-79.31,-78.3
510.51,-79.21,-79.31,-78.3
511.01,-79.22,-79.31,-78.3
511.51,-79.22,-79.31,-78.3
512.01,-79.23,-79.31,-78.3
512.51,-79.23,-79.32,-78.31
513.01,-79.24,-79.32,-78.31
513.51,-79.24,-79.32,-78.31
514.01,-79.24,-79.32,-78.31
514.51,-79.25,-79.32,-78.31
515.01,-79.25,-79.33,-78.31
515.51,-79.26,-79.33,-78.31
516.01,-79.26,-79.33,-78.31
516.51,-79.26,-79.33,-78.31
517.01,-79.27,-79.33,-78.32
517.51,-79.27,-79.33,-78.32
518.01,-79.28,-79.34,-78.32
518.51,-79.28,-79.34,-78.32
519.01,-79.29,-79.34,-78.32
519.51,-79.29,-79.34,-78.32
520.01,-79.29,-79.34,-78.32
520.51,-79.3,-79.35,-78.32
521.01,-79.3,-79.35,-78.32
521.51,-79.31,-79.35,-78.33
522.01,-79.31,-79.35,-78.33
522.51,-79.31,-79.35,-78.33
523.01,-79.32,-79.35,-78.33
523.51,-79.32,-79.36,-78.33
524.01,-79.33,-79.36,-78.33
524.51,-79.33,-79.36,-78.33
525.01,-79.33,-79.36,-78.33
525.51,-79.34,-79.36,-78.33
526.01,-79.34,-79.36,-78.34
526.51,-79.35,-79.37,-78.34
527.01,-79.35,-79.37,-78.34
527.51,-79.35,-79.37,-78.34
528.01,-79.36,-79.37,-78.34
528.51,-79.36,-79.37,-78.34
529.01,-79.37,-79.38,-78.34
529.51,-79.37,-79.38,-78.34
530.01,-79.37,-79.38,-78.34
530.51,-79.38,-79.38,-78.35
531.01,-79.38,-79.38,-78.35
531.51,-79.38,-79.38,-78.35
532.01,-79.39,-79.39,-78.35
532.51,-79.39,-79.39,-78.35
533.01,-79.4,-79.39,-78.35
533.51,-79.4,-79.39,-78.35
534.01,-79.4,-79.39,-78.35
534.51,-79.41,-79.39,-78.35
535.01,-79.41,-79.4,-78.35
535.51,-79.41,-79.4,-78.36
536.01,-79.42,-79.4,-78.36
536.51,-79.42,-79.4,-78.36
537.01,-79.43,-79.4,-78.36
537.51,-79.43,-79.4,-78.36
538.01,-79.43,-79.41,-78.36
538.51,-79.44,-79.41,-78.36
539.01,-79.44,-79.41,-78.36
539.51,-79.44,-79.41,-78.36
540.01,-79.45,-79.41,-78.37
540.51,-79.45,-79.41,-78.37
541.01,-79.46,-79.41,-78.37
541.51,-79.46,-79.42,-78.37
542.01,-79.46,-79.42,-78.37
542.51,-79.47,-79.42,-78.37
543.01,-79.47,-79.42,-78.37
543.51,-79.47,-79.42,-78.37
544.01,-79.48,-79.42,-78.37
544.51,-79.48,-79.43,-78.37
545.01,-79.48,-79.43,-78.38
545.51,-79.49,-79.43,-78.38
546.01,-79.49,-79.43,-78.38
546.51,-79.5,-79.43,-78.38
547.01,-79.5,-79.43,-78.38
547.51,-79.5,-79.44,-78.38
548.01,-79.51,-79.44,-78.38
548.51,-79.51,-79.44,-78.38
549.01,-79.51,-79.44,-78.38
549.51,-79.52,-79.44,-78.38
550.01,-79.52,-79.44,-78.39
550.51,-79.52,-79.44,-78.39
551.01,-79.53,-79.45,-78.39
551.51,-79.53,-79.45,-78.39
552.01,-79.53,-79.45,-78.39
552.51,-79.54,-79.45,-78.39
553.01,-79.54,-79.45,-78.39
553.51,-79.54,-79.45,-78.39
554.01,-79.55,-79.46,-78.39
554.51,-79.55,-79.46,-78.39
555.01,-79.55,-79.46,-78.39
555.51,-79.56,-79.46,-78.4
556.01,-79.56,-79.46,-78.4
556.51,-79.56,-79.46,-78.4
557.01,-79.57,-79.46,-78.4
557.51,-79.57,-79.47,-78.4
558.01,-79.57,-79.47,-78.4
558.51,-79.58,-79.47,-78.4
559.01,-79.58,-79.47,-78.4
559.51,-79.58,-79.47,-78.4
560.01,-79.59,-79.47,-78.4
560.51,-79.59,-79.47,-78.41
561.01,-79.59,-79.48,-78.41
561.51,-79.6,-79.48,-78.41
562.01,-79.6,-79.48,-78.41
562.51,-79.6,-79.48,-78.41
563.01,-79.61,-79.48,-78.41
563.51,-79.61,-79.48,-78.41
564.01,-79.61,-79.49,-78.41
564.51,-79.62,-79.49,-78.41
565.01,-79.62,-79.49,-78.41
565.51,-79.62,-79.49,-78.41
566.01,-79.63,-79.49,-78.42
566.51,-79.63,-79.49,-78.42
567.01,-79.63,-79.49,-78.42
567.51,-79.64,-79.5,-78.42
568.01,-79.64,-79.5,-78.42
568.51,-79.64,-79.5,-78.42
569.01,-79.65,-79.5,-78.42
569.51,-79.65,-79.5,-78.42
570.01,-79.65,-79.5,-78.42
570.51,-79.66,-79.5,-78.42
571.01,-79.66,-79.5,-78.42
571.51,-79.66,-79.51,-78.43
572.01,-79.66,-79.51,-78.43
572.51,-79.67,-79.51,-78.43
573.01,-79.67,-79.51,-78.43
573.51,-79.67,-79.51,-78.43
574.01,-79.68,-79.51,-78.43
574.51,-79.68,-79.51,-78.43
575.01,-79.68,-79.52,-78.43
575.51,-79.69,-79.52,-78.43
576.01,-79.69,-79.52,-78.43
576.51,-79.69,-79.52,-78.43
577.01,-79.7,-79.52,-78.43
577.51,-79.7,-79.52,-78.44
578.01,-79.7,-79.52,-78.44
578.51,-79.7,-79.53,-78.44
579.01,-79.71,-79.53,-78.44
579.51,-79.71,-79.53,-78.44
580.01,-79.71,-79.53,-78.44
580.51,-79.72,-79.53,-78.44
581.01,-79.72,-79.53,-78.44
581.51,-79.72,-79.53,-78.44
582.01,-79.73,-79.53,-78.44
582.51,-79.73,-79.54,-78.44
583.01,-79.73,-79.54,-78.44
583.51,-79.73,-79.54,-78.45
584.01,-79.74,-79.54,-78.45
584.51,-79.74,-79.54,-78.45
585.01,-79.74,-79.54,-78.45
585.51,-79.75,-79.54,-78.45
586.01,-79.75,-79.55,-78.45
586.51,-79.75,-79.55,-78.45
587.01,-79.75,-79.55,-78.45
587.51,-79.76,-79.55,-78.45
588.01,-79.76,-79.55,-78.45
588.51,-79.76,-79.55,-78.45
589.01,-79.77,-79.55,-78.45
589.51,-79.77,-79.55,-78.46
590.01,-79.77,-79.56,-78.46
590.51,-79.77,-79.56,-78.46
591.01,-79.78,-79.56,-78.46
591.51,-79.78,-79.56,-78.46
592.01,-79.78,-79.56,-78.46
592.51,-79.79,-79.56,-78.46
593.01,-79.79,-79.56,-78.46
593.51,-79.79,-79.56,-78.46
594.01,-79.79,-79.57,-78.46
594.51,-79.8,-79.57,-78.46
595.01,-79.8,-79.57,-78.46
595.51,-79.8,-79.57,-78.47
596.01,-79.81,-79.57,-78.47
596.51,-79.81,-79.57,-78.47
597.01,-79.81,-79.57,-78.47
597.51,-79.81,-79.57,-78.47
598.01,-79.82,-79.58,-78.47
598.51,-79.82,-79.58,-78.47
599.01,-79.82,-79.58,-78.47
599.51,-79.82,-79.58,-78.47
600.01,-79.83,-79.58,-78.47
600.51,-79.83,-79.58,-78.47
601.01,-79.83,-79.58,-78.47
601.51,-79.84,-79.58,-78.47
602.01,-79.84,-79.59,-78.48
602.51,-79.84,-79.59,-78.48
603.01,-79.84,-79.59,-78.48
603.51,-79.85,-79.59,-78.48
604.01,-79.85,-79.59,-78.48
604.51,-79.85,-79.59,-78.48
605.01,-79.85,-79.59,-78.48
605.51,-79.86,-79.59,-78.48
606.01,-79.86,-79.6,-78.48
606.51,-79.86,-79.6,-78.48
607.01,-79.86,-79.6,-78.48
607.51,-79.87,-79.6,-78.48
608.01,-79.87,-79.6,-78.48
608.51,-79.87,-79.6,-78.49
609.01,-79.88,-79.6,-78.49
609.51,-79.88,-79.6,-78.49
610.01,-79.88,-79.6,-78.49
610.51,-79.88,-79.61,-78.49
611.01,-79.89,-79.61,-78.49
611.51,-79.89,-79.61,-78.49
612.01,-79.89,-79.61,-78.49
612.51,-79.89,-79.61,-78.49
613.01,-79.9,-79.61,-78.49
613.51,-79.9,-79.61,-78.49
614.01,-79.9,-79.61,-78.49
614.51,-79.9,-79.62,-78.49
615.01,-79.91,-79.62,-78.5
615.51,-79.91,-79.62,-78.5
616.01,-79.91,-79.62,-78.5
616.51,-79.91,-79.62,-78.5
617.01,-79.92,-79.62,-78.5
617.51,-79.92,-79.62,-78.5
618.01,-79.92,-79.62,-78.5
618.51,-79.92,-79.62,-78.5
619.01,-79.93,-79.63,-78.5
619.51,-79.93,-79.63,-78.5
620.01,-79.93,-79.63,-78.5
620.51,-79.93,-79.63,-78.5
621.01,-79.94,-79.63,-78.5
621.51,-79.94,-79.63,-78.5
622.01,-79.94,-79.63,-78.51
622.51,-79.94,-79.63,-78.51
623.01,-79.95,-79.63,-78.51
623.51,-79.95,-79.64,-78.51
624.01,-79.95,-79.64,-78.51
624.51,-79.95,-79.64,-78.51
625.01,-79.96,-79.64,-78.51
625.51,-79.96,-79.64,-78.51
626.01,-79.96,-79.64,-78.51
626.51,-79.96,-79.64,-78.51
627.01,-79.97,-79.64,-78.51
627.51,-79.97,-79.64,-78.51
628.01,-79.97,-79.65,-78.51
628.51,-79.97,-79.65,-78.51
629.01,-79.97,-79.65,-78.51
629.51,-79.98,-79.65,-78.52
630.01,-79.98,-79.65,-78.52
630.51,-79.98,-79.65,-78.52
631.01,-79.98,-79.65,-78.52
631.51,-79.99,-79.65,-78.52
632.01,-79.99,-79.65,-78.52
632.51,-79.99,-79.66,-78.52
633.01,-79.99,-79.66,-78.52
633.51,-80,-79.66,-78.52
634.01,-80,-79.66,-78.52
634.51,-80,-79.66,-78.52
635.01,-80,-79.66,-78.52
635.51,-80.01,-79.66,-78.52
636.01,-80.01,-79.66,-78.52
636.51,-80.01,-79.66,-78.53
637.01,-80.01,-79.66,-78.53
637.51,-80.01,-79.67,-78.53
638.01,-80.02,-79.67,-78.53
638.51,-80.02,-79.67,-78.53
639.01,-80.02,-79.67,-78.53
639.51,-80.02,-79.67,-78.53
640.01,-80.03,-79.67,-78.53
640.51,-80.03,-79.67,-78.53
641.01,-80.03,-79.67,-78.53
641.51,-80.03,-79.67,-78.53
642.01,-80.03,-79.67,-78.53
642.51,-80.04,-79.68,-78.53
643.01,-80.04,-79.68,-78.53
643.51,-80.04,-79.68,-78.53
644.01,-80.04,-79.68,-78.54
644.51,-80.05,-79.68,-78.54
645.01,-80.05,-79.68,-78.54
645.51,-80.05,-79.68,-78.54
646.01,-80.05,-79.68,-78.54
646.51,-80.05,-79.68,-78.54
647.01,-80.06,-79.68,-78.54
647.51,-80.06,-79.69,-78.54
648.01,-80.06,-79.69,-78.54
648.51,-80.06,-79.69,-78.54
649.01,-80.07,-79.69,-78.54
649.51,-80.07,-79.69,-78.54
650.01,-80.07,-79.69,-78.54
650.51,-80.07,-79.69,-78.54
651.01,-80.07,-79.69,-78.54
651.51,-80.08,-79.69,-78.54
652.01,-80.08,-79.69,-78.55
652.51,-80.08,-79.7,-78.55
653.01,-80.08,-79.7,-78.55
653.51,-80.08,-79.7,-78.55
654.01,-80.09,-79.7,-78.55
654.51,-80.09,-79.7,-78.55
655.01,-80.09,-79.7,-78.55
655.51,-80.09,-79.7,-78.55
656.01,-80.1,-79.7,-78.55
656.51,-80.1,-79.7,-78.55
657.01,-80.1,-79.7,-78.55
657.51,-80.1,-79.71,-78.55
658.01,-80.1,-79.71,-78.55
658.51,-80.11,-79.71,-78.55
659.01,-80.11,-79.71,-78.55
659.51,-80.11,-79.71,-78.55
660.01,-80.11,-79.71,-78.56
660.51,-80.11,-79.71,-78.56
661.01,-80.12,-79.71,-78.56
661.51,-80.12,-79.71,-78.56
662.01,-80.12,-79.71,-78.56
662.51,-80.12,-79.71,-78.56
663.01,-80.12,-79.72,-78.56
663.51,-80.13,-79.72,-78.56
664.01,-80.13,-79.72,-78.56
664.51,-80.13,-79.72,-78.56
665.01,-80.13,-79.72,-78.56
665.51,-80.13,-79.72,-78.56
666.01,-80.14,-79.72,-78.56
666.51,-80.14,-79.72,-78.56
667.01,-80.14,-79.72,-78.56
667.51,-80.14,-79.72,-78.56
668.01,-80.14,-79.73,-78.56
668.51,-80.15,-79.73,-78.57
669.01,-80.15,-79.73,-78.57
669.51,-80.15,-79.73,-78.57
670.01,-80.15,-79.73,-78.57
670.51,-80.15,-79.73,-78.57
671.01,-80.16,-79.73,-78.57
671.51,-80.16,-79.73,-78.57
672.01,-80.16,-79.73,-78.57
672.51,-80.16,-79.73,-78.57
673.01,-80.16,-79.73,-78.57
673.51,-80.17,-79.73,-78.57
674.01,-80.17,-79.74,-78.57
674.51,-80.17,-79.74,-78.57
675.01,-80.17,-79.74,-78.57
675.51,-80.17,-79.74,-78.57
676.01,-80.18,-79.74,-78.57
676.51,-80.18,-79.74,-78.57
677.01,-80.18,-79.74,-78.57
677.51,-80.18,-79.74,-78.58
678.01,-80.18,-79.74,-78.58
678.51,-80.19,-79.74,-78.58
679.01,-80.19,-79.74,-78.58
679.51,-80.19,-79.75,-78.58
680.01,-80.19,-79.75,-78.58
680.51,-80.19,-79.75,-78.58
681.01,-80.19,-79.75,-78.58
681.51,-80.2,-79.75,-78.58
682.01,-80.2,-79.75,-78.58
682.51,-80.2,-79.75,-78.58
683.01,-80.2,-79.75,-78.58
683.51,-80.2,-79.75,-78.58
684.01,-80.21,-79.75,-78.58
684.51,-80.21,-79.75,-78.58
685.01,-80.21,-79.75,-78.58
685.51,-80.21,-79.76,-78.58
686.01,-80.21,-79.76,-78.58
686.51,-80.21,-79.76,-78.59
687.01,-80.22,-79.76,-78.59
687.51,-80.22,-79.76,-78.59
688.01,-80.22,-79.76,-78.59
688.51,-80.22,-79.76,-78.59
689.01,-80.22,-79.76,-78.59
689.51,-80.23,-79.76,-78.59
690.01,-80.23,-79.76,-78.59
690.51,-80.23,-79.76,-78.59
691.01,-80.23,-79.77,-78.59
691.51,-80.23,-79.77,-78.59
692.01,-80.23,-79.77,-78.59
692.51,-80.24,-79.77,-78.59
693.01,-80.24,-79.77,-78.59
693.51,-80.24,-79.77,-78.59
694.01,-80.24,-79.77,-78.59
694.51,-80.24,-79.77,-78.59
695.01,-80.25,-79.77,-78.59
695.51,-80.25,-79.77,-78.6
696.01,-80.25,-79.77,-78.6
696.51,-80.25,-79.77,-78.6
697.01,-80.25,-79.77,-78.6
697.51,-80.25,-79.78,-78.6
698.01,-80.26,-79.78,-78.6
698.51,-80.26,-79.78,-78.6
699.01,-80.26,-79.78,-78.6
699.51,-80.26,-79.78,-78.6
700.01,-80.26,-79.78,-78.6
700.51,-80.26,-79.78,-78.6
701.01,-80.27,-79.78,-78.6
701.51,-80.27,-79.78,-78.6
702.01,-80.27,-79.78,-78.6
702.51,-80.27,-79.78,-78.6
703.01,-80.27,-79.78,-78.6
703.51,-80.27,-79.79,-78.6
704.01,-80.28,-79.79,-78.6
704.51,-80.28,-79.79,-78.6
705.01,-80.28,-79.79,-78.6
705.51,-80.28,-79.79,-78.61
706.01,-80.28,-79.79,-78.61
706.51,-80.29,-79.79,-78.61
707.01,-80.29,-79.79,-78.61
707.51,-80.29,-79.79,-78.61
708.01,-80.29,-79.79,-78.61
708.51,-80.29,-79.79,-78.61
709.01,-80.29,-79.79,-78.61
709.51,-80.3,-79.79,-78.61
710.01,-80.3,-79.8,-78.61
710.51,-80.3,-79.8,-78.61
711.01,-80.3,-79.8,-78.61
711.51,-80.3,-79.8,-78.61
712.01,-80.3,-79.8,-78.61
712.51,-80.31,-79.8,-78.61
713.01,-80.31,-79.8,-78.61
713.51,-80.31,-79.8,-78.61
714.01,-80.31,-79.8,-78.61
714.51,-80.31,-79.8,-78.61
715.01,-80.31,-79.8,-78.61
715.51,-80.31,-79.8,-78.62
716.01,-80.32,-79.8,-78.62
716.51,-80.32,-79.81,-78.62
717.01,-80.32,-79.81,-78.62
717.51,-80.32,-79.81,-78.62
718.01,-80.32,-79.81,-78.62
718.51,-80.32,-79.81,-78.62
719.01,-80.33,-79.81,-78.62
719.51,-80.33,-79.81,-78.62
720.01,-80.33,-79.81,-78.62
720.51,-80.33,-79.81,-78.62
721.01,-80.33,-79.81,-78.62
721.51,-80.33,-79.81,-78.62
722.01,-80.34,-79.81,-78.62
722.51,-80.34,-79.81,-78.62
723.01,-80.34,-79.81,-78.62
723.51,-80.34,-79.82,-78.62
724.01,-80.34,-79.82,-78.62
724.51,-80.34,-79.82,-78.62
725.01,-80.34,-79.82,-78.62
725.51,-80.35,-79.82,-78.62
726.01,-80.35,-79.82,-78.63
726.51,-80.35,-79.82,-78.63
727.01,-80.35,-79.82,-78.63
727.51,-80.35,-79.82,-78.63
728.01,-80.35,-79.82,-78.63
728.51,-80.36,-79.82,-78.63
729.01,-80.36,-79.82,-78.63
729.51,-80.36,-79.82,-78.63
730.01,-80.36,-79.82,-78.63
730.51,-80.36,-79.83,-78.63
731.01,-80.36,-79.83,-78.63
731.51,-80.36,-79.83,-78.63
732.01,-80.37,-79.83,-78.63
732.51,-80.37,-79.83,-78.63
733.01,-80.37,-79.83,-78.63
733.51,-80.37,-79.83,-78.63
734.01,-80.37,-79.83,-78.63
734.51,-80.37,-79.83,-78.63
735.01,-80.38,-79.83,-78.63
735.51,-80.38,-79.83,-78.63
736.01,-80.38,-79.83,-78.63
736.51,-80.38,-79.83,-78.63
737.01,-80.38,-79.83,-78.64
737.51,-80.38,-79.84,-78.64
738.01,-80.38,-79.84,-78.64
738.51,-80.39,-79.84,-78.64
739.01,-80.39,-79.84,-78.64
739.51,-80.39,-79.84,-78.64
740.01,-80.39,-79.84,-78.64
740.51,-80.39,-79.84,-78.64
741.01,-80.39,-79.84,-78.64
741.51,-80.39,-79.84,-78.64
742.01,-80.4,-79.84,-78.64
742.51,-80.4,-79.84,-78.64
743.01,-80.4,-79.84,-78.64
743.51,-80.4,-79.84,-78.64
744.01,-80.4,-79.84,-78.64
744.51,-80.4,-79.84,-78.64
745.01,-80.4,-79.85,-78.64
745.51,-80.41,-79.85,-78.64
746.01,-80.41,-79.85,-78.64
746.51,-80.41,-79.85,-78.64
747.01,-80.41,-79.85,-78.64
747.51,-80.41,-79.85,-78.64
748.01,-80.41,-79.85,-78.64
748.51,-80.41,-79.85,-78.65
749.01,-80.42,-79.85,-78.65
749.51,-80.42,-79.85,-78.65
750.01,-80.42,-79.85,-78.65
750.51,-80.42,-79.85,-78.65
751.01,-80.42,-79.85,-78.65
751.51,-80.42,-79.85,-78.65
752.01,-80.42,-79.85,-78.65
752.51,-80.43,-79.86,-78.65
753.01,-80.43,-79.86,-78.65
753.51,-80.43,-79.86,-78.65
754.01,-80.43,-79.86,-78.65
754.51,-80.43,-79.86,-78.65
755.01,-80.43,-79.86,-78.65
755.51,-80.43,-79.86,-78.65
756.01,-80.44,-79.86,-78.65
756.51,-80.44,-79.86,-78.65
757.01,-80.44,-79.86,-78.65
757.51,-80.44,-79.86,-78.65
758.01,-80.44,-79.86,-78.65
758.51,-80.44,-79.86,-78.65
759.01,-80.44,-79.86,-78.65
759.51,-80.44,-79.86,-78.65
760.01,-80.45,-79.87,-78.65
760.51,-80.45,-79.87,-78.66
761.01,-80.45,-79.87,-78.66
761.51,-80.45,-79.87,-78.66
762.01,-80.45,-79.87,-78.66
762.51,-80.45,-79.87,-78.66
763.01,-80.45,-79.87,-78.66
763.51,-80.46,-79.87,-78.66
764.01,-80.46,-79.87,-78.66
764.51,-80.46,-79.87,-78.66
765.01,-80.46,-79.87,-78.66
765.51,-80.46,-79.87,-78.66
766.01,-80.46,-79.87,-78.66
766.51,-80.46,-79.87,-78.66
767.01,-80.46,-79.87,-78.66
767.51,-80.47,-79.87,-78.66
768.01,-80.47,-79.87,-78.66
768.51,-80.47,-79.88,-78.66
769.01,-80.47,-79.88,-78.66
769.51,-80.47,-79.88,-78.66
770.01,-80.47,-79.88,-78.66
770.51,-80.47,-79.88,-78.66
771.01,-80.47,-79.88,-78.66
771.51,-80.48,-79.88,-78.66
772.01,-80.48,-79.88,-78.66
772.51,-80.48,-79.88,-78.66
773.01,-80.48,-79.88,-78.67
773.51,-80.48,-79.88,-78.67
774.01,-80.48,-79.88,-78.67
774.51,-80.48,-79.88,-78.67
775.01,-80.49,-79.88,-78.67
775.51,-80.49,-79.88,-78.67
776.01,-80.49,-79.88,-78.67
776.51,-80.49,-79.89,-78.67
777.01,-80.49,-79.89,-78.67
777.51,-80.49,-79.89,-78.67
778.01,-80.49,-79.89,-78.67
778.51,-80.49,-79.89,-78.67
779.01,-80.5,-79.89,-78.67
779.51,-80.5,-79.89,-78.67
780.01,-80.5,-79.89,-78.67
780.51,-80.5,-79.89,-78.67
781.01,-80.5,-79.89,-78.67
781.51,-80.5,-79.89,-78.67
782.01,-80.5,-79.89,-78.67
782.51,-80.5,-79.89,-78.67
783.01,-80.5,-79.89,-78.67
783.51,-80.51,-79.89,-78.67
784.01,-80.51,-79.89,-78.67
784.51,-80.51,-79.89,-78.67
785.01,-80.51,-79.9,-78.67
785.51,-80.51,-79.9,-78.67
786.01,-80.51,-79.9,-78.67
786.51,-80.51,-79.9,-78.68
787.01,-80.51,-79.9,-78.68
787.51,-80.52,-79.9,-78.68
788.01,-80.52,-79.9,-78.68
788.51,-80.52,-79.9,-78.68
789.01,-80.52,-79.9,-78.68
789.51,-80.52,-79.9,-78.68
790.01,-80.52,-79.9,-78.68
790.51,-80.52,-79.9,-78.68
791.01,-80.52,-79.9,-78.68
791.51,-80.53,-79.9,-78.68
792.01,-80.53,-79.9,-78.68
792.51,-80.53,-79.9,-78.68
793.01,-80.53,-79.9,-78.68
793.51,-80.53,-79.9,-78.68
794.01,-80.53,-79.91,-78.68
794.51,-80.53,-79.91,-78.68
795.01,-80.53,-79.91,-78.68
795.51,-80.53,-79.91,-78.68
796.01,-80.54,-79.91,-78.68
796.51,-80.54,-79.91,-78.68
797.01,-80.54,-79.91,-78.68
797.51,-80.54,-79.91,-78.68
798.01,-80.54,-79.91,-78.68
798.51,-80.54,-79.91,-78.68
799.01,-80.54,-79.91,-78.68
799.51,-80.54,-79.91,-78.68
800.01,-80.55,-79.91,-78.68
800.51,-80.55,-79.91,-78.69
801.01,-80.55,-79.91,-78.69
801.51,-80.55,-79.91,-78.69
802.01,-80.55,-79.91,-78.69
802.51,-80.55,-79.91,-78.69
803.01,-80.55,-79.92,-78.69
803.51,-80.55,-79.92,-78.69
804.01,-80.55,-79.92,-78.69
804.51,-80.56,-79.92,-78.69
805.01,-80.56,-79.92,-78.69
805.51,-80.56,-79.92,-78.69
806.01,-80.56,-79.92,-78.69
806.51,-80.56,-79.92,-78.69
807.01,-80.56,-79.92,-78.69
807.51,-80.56,-79.92,-78.69
808.01,-80.56,-79.92,-78.69
808.51,-80.56,-79.92,-78.69
809.01,-80.57,-79.92,-78.69
809.51,-80.57,-79.92,-78.69
810.01,-80.57,-79.92,-78.69
810.51,-80.57,-79.92,-78.69
811.01,-80.57,-79.92,-78.69
811.51,-80.57,-79.92,-78.69
812.01,-80.57,-79.92,-78.69
812.51,-80.57,-79.93,-78.69
813.01,-80.57,-79.93,-78.69
813.51,-80.58,-79.93,-78.69
814.01,-80.58,-79.93,-78.69
814.51,-80.58,-79.93,-78.69
815.01,-80.58,-79.93,-78.7
815.51,-80.58,-79.93,-78.7
816.01,-80.58,-79.93,-78.7
816.51,-80.58,-79.93,-78.7
817.01,-80.58,-79.93,-78.7
817.51,-80.58,-79.93,-78.7
818.01,-80.58,-79.93,-78.7
818.51,-80.59,-79.93,-78.7
819.01,-80.59,-79.93,-78.7
819.51,-80.59,-79.93,-78.7
820.01,-80.59,-79.93,-78.7
820.51,-80.59,-79.93,-78.7
821.01,-80.59,-79.93,-78.7
821.51,-80.59,-79.93,-78.7
822.01,-80.59,-79.93,-78.7
822.51,-80.59,-79.94,-78.7
823.01,-80.6,-79.94,-78.7
823.51,-80.6,-79.94,-78.7
824.01,-80.6,-79.94,-78.7
824.51,-80.6,-79.94,-78.7
825.01,-80.6,-79.94,-78.7
825.51,-80.6,-79.94,-78.7
826.01,-80.6,-79.94,-78.7
826.51,-80.6,-79.94,-78.7
827.01,-80.6,-79.94,-78.7
827.51,-80.6,-79.94,-78.7
828.01,-80.61,-79.94,-78.7
828.51,-80.61,-79.94,-78.7
829.01,-80.61,-79.94,-78.7
829.51,-80.61,-79.94,-78.7
830.01,-80.61,-79.94,-78.7
830.51,-80.61,-79.94,-78.71
831.01,-80.61,-79.94,-78.71
831.51,-80.61,-79.94,-78.71
832.01,-80.61,-79.94,-78.71
832.51,-80.61,-79.94,-78.71
833.01,-80.62,-79.95,-78.71
833.51,-80.62,-79.95,-78.71
834.01,-80.62,-79.95,-78.71
834.51,-80.62,-79.95,-78.71
835.01,-80.62,-79.95,-78.71
835.51,-80.62,-79.95,-78.71
836.01,-80.62,-79.95,-78.71
836.51,-80.62,-79.95,-78.71
837.01,-80.62,-79.95,-78.71
837.51,-80.62,-79.95,-78.71
838.01,-80.63,-79.95,-78.71
838.51,-80.63,-79.95,-78.71
839.01,-80.63,-79.95,-78.71
839.51,-80.63,-79.95,-78.71
840.01,-80.63,-79.95,-78.71
840.51,-80.63,-79.95,-78.71
841.01,-80.63,-79.95,-78.71
841.51,-80.63,-79.95,-78.71
842.01,-80.63,-79.95,-78.71
842.51,-80.63,-79.95,-78.71
843.01,-80.64,-79.95,-78.71
843.51,-80.64,-79.96,-78.71
844.01,-80.64,-79.96,-78.71
844.51,-80.64,-79.96,-78.71
845.01,-80.64,-79.96,-78.71
845.51,-80.64,-79.96,-78.71
846.01,-80.64,-79.96,-78.71
846.51,-80.64,-79.96,-78.71
847.01,-80.64,-79.96,-78.72
847.51,-80.64,-79.96,-78.72
848.01,-80.65,-79.96,-78.72
848.51,-80.65,-79.96,-78.72
849.01,-80.65,-79.96,-78.72
849.51,-80.65,-79.96,-78.72
850.01,-80.65,-79.96,-78.72
850.51,-80.65,-79.96,-78.72
851.01,-80.65,-79.96,-78.72
851.51,-80.65,-79.96,-78.72
852.01,-80.65,-79.96,-78.72
852.51,-80.65,-79.96,-78.72
853.01,-80.65,-79.96,-78.72
853.51,-80.66,-79.96,-78.72
854.01,-80.66,-79.96,-78.72
854.51,-80.66,-79.97,-78.72
855.01,-80.66,-79.97,-78.72
855.51,-80.66,-79.97,-78.72
856.01,-80.66,-79.97,-78.72
856.51,-80.66,-79.97,-78.72
857.01,-80.66,-79.97,-78.72
857.51,-80.66,-79.97,-78.72
858.01,-80.66,-79.97,-78.72
858.51,-80.66,-79.97,-78.72
859.01,-80.67,-79.97,-78.72
859.51,-80.67,-79.97,-78.72
860.01,-80.67,-79.97,-78.72
860.51,-80.67,-79.97,-78.72
861.01,-80.67,-79.97,-78.72
861.51,-80.67,-79.97,-78.72
862.01,-80.67,-79.97,-78.72
862.51,-80.67,-79.97,-78.72
863.01,-80.67,-79.97,-78.72
863.51,-80.67,-79.97,-78.72
864.01,-80.67,-79.97,-78.72
