# VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38
7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733,7.005,-1.903687733
7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336,7.505,-1.903687336
8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941,8.005,-1.903686941
8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546,8.505,-1.903686546
9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154,9.005,-1.903686154
9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762,9.505,-1.903685762
10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372,10.005,-1.903685372
10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982,10.505,-1.903684982
11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595,11.005,-1.903684595
11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208,11.505,-1.903684208
