# "VAR1","VAR2","VAR3","VAR4","VAR5","VAR6","VAR7","VAR8","VAR9","VAR10","VAR11","VAR12"
2.691637,29.2683,2.669751,20.2439,2.720056,12.9268,3.2782,3.1707,,,,
2.754355,29.7561,2.732469,20.7317,2.782665,13.1707,3.35834,2.6829,,,,
2.790178,30,2.777221,20.9756,2.836345,13.4147,3.41191,2.6829,,,,
2.852896,30.4878,2.839938,21.4634,2.898954,13.6586,3.47441,2.6829,,,,
2.906685,30.9756,2.893728,21.9512,2.943815,14.1464,3.51905,2.6829,,,,
2.95144,31.2195,2.920513,21.9512,3.00642,14.3903,3.54584,2.6829,,,,
2.98737,31.7073,2.96527,22.1951,3.03332,14.6342,3.5637,2.6829,,,,
3.02308,31.7073,3.00109,22.439,3.04029,10.2439,3.59037,2.439,,,,
3.04083,11.4634,3.03702,22.9268,3.05618,5.8537,3.60812,2.1951,,,,
3.0417,13.4147,3.03963,8.7805,3.12761,5.8537,3.67955,2.1951,,,,
3.04334,17.0732,3.04323,16.8293,3.18108,5.6098,3.75991,2.1951,,,,
3.04519,21.2195,3.04856,8.7805,3.20775,5.3659,3.84027,2.1951,,,,
3.04682,24.8781,3.07535,8.7805,3.23443,5.122,3.91158,1.9512,,,,
3.04845,28.5366,3.14656,8.2927,3.26993,4.6342,3.97398,1.7073,,,,
3.04998,31.9512,3.21766,7.561,3.35006,4.1464,4.05433,1.7073,,,,
3.07633,10.9756,3.28887,7.0732,3.41267,4.3903,4.13458,1.4634,,,,
3.12086,10.7317,3.36901,6.5854,3.46614,4.1464,4.31304,1.2195,,,,
3.20089,10,3.41354,6.3415,3.51067,3.9025,4.45579,0.975599999999997,,,,
3.25425,9.5122,3.47594,6.0976,3.57306,3.6586,4.54486,0.487799999999996,,,,
3.31653,9.0244,3.55608,5.6098,3.62663,3.6586,,,,,,
3.36988,8.5366,3.58286,5.6098,3.66235,3.6586,,,,,,
3.43216,8.0488,3.61847,5.3659,3.74249,3.1707,,,,,,
3.48552,7.561,3.68968,4.8781,3.82284,3.1707,,,,,,
3.52994,7.0732,3.76993,4.6342,3.87631,2.9268,,,,,,
3.60115,6.5854,3.84124,4.3903,3.91191,2.6829,,,,,,
3.6814,6.3415,3.86803,4.3903,3.95655,2.6829,,,,,,
3.74379,6.0976,3.94828,4.1464,4.0012,2.6829,,,,,,
