# "VAR1","VAR2","VAR3","VAR4","VAR5","VAR6","VAR7","VAR8","VAR9","VAR10","VAR11","VAR12","VAR13","VAR14","VAR15","VAR16","VAR17","VAR18","VAR19","VAR20","VAR21","VAR22","VAR23","VAR24","VAR25","VAR26","VAR27","VAR28","VAR29","VAR30","VAR31","VAR32","VAR33","VAR34"
0.0526200000000001,17.8495,0.0494599999999998,10.7527,0.0482100000000001,7.957,0.0502199999999999,12.4731,0.0494599999999998,10.7527,0.0494599999999998,10.7527,0.0502199999999999,12.4731,0.0494599999999998,10.7527,0.0482999999999998,8.172,0.15487,6.8817,0.24262,3.4409,0.42849,-0.2151,0.32855,-4.086,0.37136,-8.172,0.28851,-13.7634,0.34765,-21.2903,0.24435,-32.68817
0.0533000000000001,19.3548,0.0502199999999999,12.4731,0.0486900000000001,9.0323,0.0509900000000001,14.1936,0.0502199999999999,12.4731,0.0502199999999999,12.4731,0.0510899999999999,14.4086,0.0498400000000001,11.6129,0.10274,10.1075,0.19059,6.8817,0.28726,3.4409,0.47313,-0.2151,0.37328,-3.871,0.42484,-8.3871,0.35101,-13.7634,0.37453,-21.0753,0.28006,-32.68817
0.05368,20.2151,0.0509900000000001,14.1936,0.0494599999999998,10.7527,0.0517599999999998,15.914,0.0509900000000001,14.1936,0.0509900000000001,14.1936,0.0514700000000001,15.2688,0.10428,13.5484,0.1206,10.1075,0.20844,6.8817,0.34976,3.4409,0.50885,-0.2151,0.44471,-3.871,0.46055,-8.3871,0.40468,-13.5484,0.40132,-21.0753,0.31578,-32.68817
0.0544500000000001,21.9355,0.0517599999999998,15.914,0.0502199999999999,12.4731,0.0526200000000001,17.8495,0.0517599999999998,15.914,0.0517599999999998,15.914,0.0879500000000002,16.9893,0.12213,13.5484,0.13845,10.1075,0.25309,6.8817,0.40333,3.4409,0.56242,-0.2151,0.50721,-3.871,0.49627,-8.3871,0.4762,-13.3333,0.46382,-21.0753,0.36042,-32.68817
0.0568499999999998,27.3118,0.0526200000000001,17.8495,0.0509900000000001,14.1936,0.0533000000000001,19.3548,0.0526200000000001,17.8495,0.0526200000000001,17.8495,0.10591,17.2043,0.13106,13.5484,0.17417,10.1075,0.29763,6.6667,0.44798,3.4409,0.61608,0,0.57864,-3.871,0.56779,-8.172,0.54763,-13.3333,0.53534,-20.8602,0.43204,-32.258061
0.05714,7.957,0.0533000000000001,19.3548,0.0517599999999998,15.914,0.05368,20.2151,0.0533000000000001,19.3548,0.0533000000000001,19.3548,0.15948,17.2043,0.15785,13.5484,0.22774,10.1075,0.33335,6.6667,0.50155,3.4409,0.66966,0,0.62328,-3.871,0.62136,-8.172,0.61023,-13.1183,0.58901,-20.6452,0.46785,-32.043008
0.05762,29.0323,0.05368,20.2151,0.0526200000000001,17.8495,0.0544500000000001,21.9355,0.05368,20.2151,0.0627,20.4301,0.21315,17.4194,0.22035,13.5484,0.29024,10.1075,0.39594,6.8817,0.55512,3.4409,0.73206,-0.2151,0.67686,-3.871,0.67494,-8.172,0.6638,-13.1183,0.62472,-20.6452,0.51269,-31.6129
0.05762,9.0323,0.0544500000000001,21.9355,0.0533000000000001,19.3548,0.05531,23.871,0.0545399999999998,22.1505,0.0898699999999999,21.2903,0.26681,17.6344,0.29187,13.7634,0.33488,10.1075,0.45854,7.0968,0.61762,3.4409,0.7767,-0.2151,0.73936,-3.871,0.73753,-7.957,0.73523,-13.1183,0.66937,-20.6452,0.52161,-31.6129
0.0581900000000002,30.3226,0.05531,23.871,0.05368,20.2151,0.0559799999999999,25.3763,0.0552199999999998,23.6559,0.15247,21.5054,0.32931,17.6344,0.35447,13.9785,0.40631,10.1075,0.50318,7.0968,0.68012,3.4409,0.81242,-0.2151,0.784,-3.871,0.7911,-7.957,0.7888,-13.1183,0.72304,-20.4301,0.56626,-31.6129
0.05877,31.6129,0.0559799999999999,25.3763,0.0544500000000001,21.9355,0.0568499999999998,27.3118,0.0556000000000001,24.5161,0.17935,21.7204,0.37396,17.6344,0.41697,13.9785,0.45988,10.1075,0.54773,6.8817,0.72476,3.4409,0.87501,0,0.8465,-3.871,0.85351,-8.172,0.84237,-13.1183,0.75885,-20.2151,0.58411,-31.6129
