# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
      43.505        -12.701    0.000724069        0.41619       0.810545        23.9965
      44.005        -12.683    0.000722804       0.416283       0.808981        23.1648
      44.505        -12.662    0.000721531       0.416476       0.807421        22.3682
      45.005        -12.639     0.00072025       0.416764       0.805863        21.6046
      45.505        -12.613    0.000718964       0.417143       0.804308        20.8722
      46.005        -12.586     0.00071767       0.417607       0.802756        20.1695
      46.505        -12.556    0.000716361       0.418153       0.801205        19.4949
      47.005        -12.524    0.000715042       0.418776       0.799658        18.8469
      47.505        -12.491    0.000713718       0.419473       0.798112        18.2243
      48.005        -12.455    0.000712393        0.42024       0.796569        17.6257
      48.505        -12.419    0.000711069       0.421073       0.795029          17.05
      49.005        -12.380    0.000709748       0.421969        0.79349        16.4961
      49.505        -12.340    0.000708432       0.422924       0.791954         15.963
      50.005        -12.299    0.000707121       0.423936       0.790419        15.4496
      50.505        -12.256    0.000705815       0.425002       0.788887        14.9551
      51.005        -12.213    0.000704515       0.426119       0.787357        14.4786
      51.505        -12.168    0.000703221       0.427283       0.785829        14.0193
      52.005        -12.122    0.000701934       0.428493       0.784303        13.5764
      52.505        -12.075    0.000700653       0.429746       0.782779        13.1493
      53.005        -12.027    0.000699379       0.431039       0.781256        12.7372
      53.505        -11.978    0.000698112       0.432371       0.779736        12.3395
      54.005        -11.928    0.000696851       0.433738       0.778217        11.9556
      54.505        -11.878    0.000695597       0.435138       0.776701        11.5849
      55.005        -11.827    0.000694349        0.43657       0.775186        11.2269
      55.505        -11.775    0.000693109       0.438031       0.773673        10.8811
      56.005        -11.723    0.000691875       0.439519       0.772162        10.5469
      56.505        -11.671    0.000690647       0.441032       0.770653         10.224
      57.005        -11.618    0.000689427       0.442568       0.769146        9.91183
      57.505        -11.564    0.000688213       0.444126       0.767641        9.61002
      58.005        -11.510    0.000687006       0.445703       0.766137        9.31818
      58.505        -11.456    0.000685805       0.447298       0.764635        9.03593
      59.005        -11.402    0.000684611       0.448909       0.763135         8.7629
      59.505        -11.348    0.000683424       0.450533       0.761637        8.49875
      60.005        -11.293    0.000682243       0.452171       0.760141        8.24317
      60.505        -11.239    0.000681068       0.453819       0.758647        7.99584
      61.005        -11.184      0.0006799       0.455476       0.757154        7.75647
      61.505        -11.129    0.000678739       0.457141       0.755664        7.52476
      62.005        -11.075    0.000677584       0.458813       0.754175        7.30045
      62.505        -11.020    0.000676435       0.460489       0.752689        7.08329
      63.005        -10.966    0.000675293       0.462168       0.751204        6.87302
      63.505        -10.912    0.000674157       0.463849       0.749721        6.66941
      64.005        -10.858    0.000673027        0.46553        0.74824        6.47223
      64.505        -10.804    0.000671903        0.46721       0.746761        6.28126
