# S1-S2 restitution for CRN98 icl cell. Adaptive step
# step: step in S2 interval
# delta: Difference in S2 APD from previous S2.
# d/dt: rate of change of S2 APD
#     S2 S1 APD50       DI S2 APD50    Vpeak     step    delta     d/dt
 510.938   157.97   352.97   102.59  24.2669   1.5625    0.525    0.336
 509.375   157.97   351.41  102.065  24.2499   1.5625    0.525    0.336
 507.812   157.97  349.845  101.535  24.2322   1.5625     0.53   0.3392
  506.25   157.97  348.285  101.005  24.2139   1.5625     0.53   0.3392
 504.688   157.97   346.72  100.475  24.1949   1.5625     0.53   0.3392
 503.125   157.97   345.16    99.94  24.1753   1.5625    0.535   0.3424
 501.562   157.97  343.595    99.44  24.1422   1.5625      0.5     0.32
     500   157.97  342.035   98.905  24.1214   1.5625    0.535   0.3424
 498.438   157.97   340.47    98.37  24.0998   1.5625    0.535   0.3424
 496.875   157.97   338.91    97.83  24.0776   1.5625     0.54   0.3456
 495.312   157.97  337.345   97.295  24.0544   1.5625    0.535   0.3424
  493.75   157.97  335.785    96.76  24.0304   1.5625    0.535   0.3424
 492.188   157.97   334.22    96.22  24.0055   1.5625     0.54   0.3456
 490.625   157.97   332.66   95.685  23.9798   1.5625    0.535   0.3424
 489.062   157.97  331.095   95.145  23.9531   1.5625     0.54   0.3456
   487.5   157.97  329.535    94.64  23.9128   1.5625    0.505   0.3232
 485.938   157.97   327.97   94.105  23.8844   1.5625    0.535   0.3424
 484.375   157.97   326.41    93.57  23.8551   1.5625    0.535   0.3424
 482.812   157.97  324.845    93.03  23.8246   1.5625     0.54   0.3456
  481.25   157.97  323.285   92.495  23.7932   1.5625    0.535   0.3424
 479.688   157.97   321.72    91.96  23.7606   1.5625    0.535   0.3424
 478.125   157.97   320.16    91.43  23.7269   1.5625     0.53   0.3392
 476.562   157.97  318.595     90.9  23.6919   1.5625     0.53   0.3392
     475   157.97  317.035     90.4  23.6429   1.5625      0.5     0.32
 473.438   157.97   315.47    89.87  23.6056   1.5625     0.53   0.3392
 471.875   157.97   313.91   89.345  23.5672   1.5625    0.525    0.336
 470.312   157.97  312.345    88.82  23.5272   1.5625    0.525    0.336
  468.75   157.97  310.785     88.3   23.486   1.5625     0.52   0.3328
 467.188   157.97   309.22    87.78  23.4431   1.5625     0.52   0.3328
 465.625   157.97   307.66    87.26  23.3989   1.5625     0.52   0.3328
 464.062   157.97  306.095   86.745   23.353   1.5625    0.515   0.3296
   462.5   157.97  304.535   86.235  23.3056   1.5625     0.51   0.3264
 460.938   157.97   302.97    85.76  23.2439   1.5625    0.475    0.304
 459.375   157.97   301.41   85.255  23.1934   1.5625    0.505   0.3232
 457.812   157.97  299.845    84.75   23.141   1.5625    0.505   0.3232
  456.25   157.97  298.285   84.255  23.0869   1.5625    0.495   0.3168
 454.688   157.97   296.72    83.76  23.0307   1.5625    0.495   0.3168
 453.125   157.97   295.16    83.27  22.9728   1.5625     0.49   0.3136
 451.562   157.97  293.595   82.785  22.9126   1.5625    0.485   0.3104
     450   157.97  292.035   82.305  22.8506   1.5625     0.48   0.3072
