# erpr for CRN98s140g25 found by binary search
#   BCL (ms)	  ERP (ms)	     ratio	    S1 Amp	    S2 Amp	 APD count
      1024	   109.547	  0.800013	   102.076	   81.6619	         9
       960	   108.875	  0.800028	   102.037	   81.6328	         9
       896	   108.219	   0.80005	   102.007	   81.6105	         9
       832	   107.562	  0.800063	   101.969	   81.5814	         9
       768	   106.906	  0.800052	   101.909	   81.5321	         9
       704	    106.25	  0.800003	   101.849	   81.4799	         9
       640	   105.594	  0.800016	   101.762	   81.4113	         9
       576	   104.953	  0.800061	   101.654	   81.3292	         9
       512	    104.25	  0.800059	   101.503	   81.2086	         9
       448	   103.562	  0.800068	   101.325	   81.0668	         9
       384	   102.766	  0.800055	   101.067	   80.8594	         9
       320	   101.812	  0.800032	   100.666	   80.5357	         9
       288	   101.188	   0.80004	   100.352	   80.2853	         9
       256	   100.344	  0.800003	   99.8843	   79.9078	         9
       240	   99.7969	  0.800069	   99.5524	   79.6488	         9
       224	   99.0938	   0.80003	   99.1182	   79.2975	         9
       208	   98.2031	  0.800067	   98.5387	   78.8375	         9
       200	   97.6562	  0.800015	   98.1823	   78.5473	         9
       192	   97.0312	  0.800075	   97.7514	   78.2085	         9
       184	   96.3125	  0.800021	   97.2591	   77.8093	         9
       176	   95.4844	  0.800081	   96.6644	   77.3394	         9
       168	   94.5312	  0.800088	   95.9739	   76.7876	         9
       164	        94	  0.800094	   95.5806	   76.4734	         9
       160	   93.4219	   0.80004	   95.1503	    76.124	         9
       156	   92.8125	  0.800078	   94.6794	   75.7509	         9
       152	   92.1406	  0.800038	   94.1626	   75.3337	         9
       148	   91.4219	  0.800104	   93.5949	   74.8856	         9
       144	   90.6406	  0.800047	   92.9699	   74.3803	         9
       140	   89.8125	  0.800071	   92.2803	   73.8308	         9
       136	   88.9062	   0.80003	   91.5177	   73.2169	         9
       132	   87.9375	  0.800046	    90.672	   72.5417	         9
       130	   87.4219	  0.800047	   90.2144	   72.1757	         9
       128	   86.8906	  0.800094	   89.7315	   71.7936	         9
       127	   86.6094	  0.800018	   89.4799	   71.5855	         9
    126.75	   86.5469	  0.800105	   89.4156	   71.5418	         9
    126.63	      86.5	   0.80001	   89.3847	   71.5087	         9
    126.57	      86.5	   0.80015	   89.3693	   71.5089	         9
    126.57	      86.5	   0.80015	   89.3693	   71.5089	         9
